id,site_id,district,street,nr_of_rooms,area_m2,floor,floor_max,series,building_type,extra,price,price_m2,site,description
97,vecmilgravis/clijn,Vecmīlgrāvis,Vecmīlgrāvja 6,3,63.0,4,5,Hrušč.,Ķieģeļu,Balkons,67500.0,1071.43,https://www.ss.com/msg/lv/real-estate/flats/riga/vecmilgravis/clijn.html,"Pārdod gaišu, saulainu trīsistabu dzīvokli Vecmīlgrāvja klusā rajonā. 
Brežņeva laika projekts. 
 Katrā stāvā ir divi dzīvokļi. Dzīvokļa logi vērsti uz abām mājas pusēm, visas istabas izolētas. 
 Dzīvoklī ir jauna elektroinstalācija, santehnika (nomainīts stāvvads), radiatori , biezas metāla ieejas durvis. Iebūvēta virtuve ar tehniku (viss paliek) , koridors ar iebūvētām mēbelēm (viss paliek), apvienota vannas istaba (legalizēta pārbūve). Jauna inventāra lieta
 Ir uzstādīta signalizācija. Renovēts balkons. Pagrabs ar aprīkotu noliktavas telpu. Pie ieejas ir koda atslēga ar čipu un domofons. Zaļš, kopts pagalms ar rotaļu laukumu, autostāvvieta pie mājas. Māju uztur RNP. 
 Blakus ir parks pastaigām un atpūtai pie upes, pārtikas veikali, piecas minūtes līdz autobusa pieturai, desmit minūtes līdz vilcienam, līdz jūrai 20 minūtes ar velosipēdu . Ērta atrašanās vieta (skolas, bērnudārzi, poliklīnika, pasts) .Ja nepieciešams, varam ātri atbrīvot. 

 Продаётся светлая, солнечная трёхкомнатная квартира в тихом районе Вецмилгрависа. 
 Проект Брежневка. 
Окна выходят на обе стороны дома, все комнаты изолированные, квартира не угловая. 
Удобная планировка. 
В квартире новая электропроводка, сантехника (поменян стояк), радиаторы, толстая входная металическая дверь. 
Встроеная кухня с техникой ( остается), коридор со встроенной мебелью (остается), совмещённый санузел ( узаконенная перепланировка). Новое инвентаризационное дело
 Установлена сигнализация. 
Отремонтированный балкон. Подвал с оборудованным помещением для хранения вещей. В подъезде кодовый замок с чипом и домофон. 
 Зелёный ухоженный двор с детской площадкой, парковка возле дома. Дом обслуживает RNP. 
Рядом парк для прогулок и отдыха у реки, продуктовые магазины, пять минут до остановки, десять до электрички, до моря 20 минут на велосипеде . Удобное расположение ( школы, сады, поликлиника, почта). Быстрое освобождение."
98,tornjakalns/bimbn,Torņakalns,Jelgavas 14,1,22.1,4,6,Jaun.,Ķieģeļu,Parkošanas vieta,77350.0,3500.0,https://www.ss.com/msg/lv/real-estate/flats/riga/tornjakalns/bimbn.html,"Uniflow Apartments & Co-living ir komforta klases dzīvojamais kvartāls Jelgavas ielā 14, kas sastāvēs no četrām ēkām. Uz doto brīdi rit 1. ēkas būvniecība un ir uzsākta apartamentu rezervācija un iepriekš pārdošana. 
Kā vienu no apartamentiem sešstāvu ēkā – piedāvājam divguļamu apartamentu, kas izvietots ēkas 4. stāvā ar kopējo platību 22, 1 kv. m. , ar skatu uz jaunizveidoto promenādi un vēsturisko Kīleveina kanālu, kas savienots ar Daugavu. 
Projektā izmantoti moderni tehniskie risinājumi un materiāli, lai nodrošinātu augstu energoefektivitāti un zemu resursu patēriņu. Efektīvai enerģijas taupīšanai tiek izmantoti arī logi ar 6 kameru selektīvo stiklu. 
Apartamenti tiek piedāvāti ar balto apdari, t. sk. pilnībā izbūvētu vannasistabu. Iegādei pieejamas arī stāvvietas pagalmā. 
Jau šobrīd Torņakalna apkaimē savu ikdienu pavada vairāki tūkstoši studentu un biroju darbinieku, kā arī plānots, ka Latvijas Universitātes “Dabas mājai”, “Rakstu mājai” un “Zinātņu mājai” pievienosies arī “Tehnoloģiju māja”, “Veselības māja” u. c. uz zinātni un sasniegumiem vērstas ēkas, kas šim rajonam paredz vienu no straujākajiem attīstības lēcieniem. Tas nozīmē arī būtisku apkaimes apdzīvotības palielināšanos pie apstākļiem, ka tuvākajā apkaimē nav pieejami jauni un mūsdienīgi mājokļi. “Uniflow Apartments & Co-living” piedāvātie īpašumi kalpos par gudru investīciju iespēju nākotnē - iegādātos apartamentus varēs veiksmīgi realizēt īres tirgū neskaitāmu gadu garumā, saņemot stabilus pasīvos ienākumus. 

жилой квартал комфорт-класса на улице Елгавас, 14, который будет состоять из четырех корпусов. На данный момент ведется строительство 1 корпуса и начато бронирование и предварительная продажа квартир. 
В качестве одной из квартир предлагаем квартиру, расположенную на 4 этаже шестиэтажного дома общей площадью 22, 1 кв. м. , с видом на новый променад и исторический канал Килевейна, который соединяется с рекой Даугавой. 
В проекте используются современные технические решения и материалы, обеспечивающие высокую энергоэффективность. Для эффективного энергосбережения также используются окна с 6-камерным селективным стеклом. 
Квартиры предлагаются с белой отделкой, в том числе с полностью законченной ванной комнатой. Также можно приобрести парковочные места во дворе. 
В настоящее время в районе Торнякалнса проживают несколько тысяч студентов и офисных работников. Планируется, что к Дому природы, Дому письма и Дому науки Латвийского университета присоединится Дом технологии, Дом здоровья и др. здания, ориентированные на науку и достижения, что позволит этому району достичь стремительного развития. Это также означает значительный рост населения микрорайона в связи с тем что в непосредственной близости нет нового и современного жилья. Uniflow Apartments & Co-living послужат в будущем отличной инвестиционной возможностью – купленные квартиры можно будет успешно продавать на рынке аренды в течение долгих лет, получая стабильный пассивный доход."
99,shampeteris-pleskodale/ahkci,Šampēteris-Pleskodāle,Apuzes 37,2,30.0,1,2,P. kara,Mūra,,37995.0,1266.5,https://www.ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/ahkci.html,"Piedāvājumā perspektīvs divistabu dzīvoklis unikālā pirmskara ēkā. 

Dzīvokļa plānojums:

Priekštelpa;
Vannasistaba;
Tualete;
Viesistaba, apvienota ar virtuvi;
Guļamistaba ar atsevišķu biroja telpu. 

Dzīvoklis atrodas unikālā, 1928. gadā celtā mājā, kurā ir tikai četri dzīvokļi. Pie mājas īpašumā ir 900 m² liela zeme, kas rada privātmājas sajūtu. Dzīvoklim laiku atpakaļ veikts remonts – nomainīti radiatori un logi, pārvilkta elektrība un uzstādīta gāzes apkure. 

Dzīvoklim veiktas nesaskaņotas pārbūves. 

Ērta atrašanās vieta – pāris minūšu gājienā ir sabiedriskā transporta pieturas, veikali un viss nepieciešamais ērtai dzīvošanai. 

Lūdzam bez iepriekšējas vienošanās neieiet mājas teritorijā. 

Laipni gaidīti uz apskati."
100,yugla/dkeoc,Jugla,Veldres 1,2,47.0,2,5,LT proj.,Paneļu,"Balkons, Parkošanas vieta",41000.0,872.34,https://www.ss.com/msg/lv/real-estate/flats/riga/yugla/dkeoc.html,"Pārdod divistabu dzīvokli Juglā, jaukā apzaļumotā vietā, ezera tuvumā. Dzīvoklim nepieciešams kosmētiskais remonts. Ir nomainīti logi un metāla ieejas durvis. Tīra kāpņutelpa ar koda ieeju. Tuvumā sabiedriskais transports, skola, bērnudārzs, veikali un atpūtas vietas. Dzīvoklis bez parādiem, atbrīvots. Cena runājama."
101,purvciems/hbpnm,Purvciems,Stirnu 13 b,2,39.0,5,5,LT proj.,Paneļu,"Balkons, Parkošanas vieta",45000.0,1153.85,https://www.ss.com/msg/lv/real-estate/flats/riga/purvciems/hbpnm.html,"Pārdodu 2 istabu dzivokli laba vieta. Blakus bērnu dārz, tirgus. sabiedriskajs transports, skola, poliklinika, Labi kajmini .Cena runājama."
102,shampeteris-pleskodale/bbbfld,Šampēteris-Pleskodāle,Stendes 7 kor2,2,48.0,2,3,Hrušč.,Ķieģeļu,,38000.0,791.67,https://www.ss.com/msg/lv/real-estate/flats/riga/shampeteris-pleskodale/bbbfld.html,"Pārdodu 2 istabu dzīvokli laba rajona .Laba infrastruktūra. Tuvuma veikali, sabiedriskajs transports, skola. Ir stāvvieta. 

Продаю 2 комнатную квартиру. В хорошем месте. Рядом магазины, школа, детские садыю"
103,imanta/beoogf,Imanta,Zentenes 20,3,62.0,8,9,602.,Paneļu,"Balkons, Parkošanas vieta",54800.0,883.87,https://www.ss.com/msg/lv/real-estate/flats/riga/imanta/beoogf.html,"3-istabu dzīvoklis lieliskā lokācijā Imantā ar balkonu. 

Dzīvoklis sastāv no plašas viesistabas, 2 izolētām guļamistabām, vannas Istabas, tualetes, gaiteņa un atsevišķas virtuves. Ir balkons. Daļēji nomainīti stikla pakešu logi, mainīti stāvvadi un radiatori. Logi ir vērsti uz abām mājas pusēm, līdz ar to- dzīvoklī vienmēr iespīd saule. Tīra un sakopta kāpņutelpa. Ārdurvis ir aprīkotas ar kodu. Autostāvvieta mājas iekšpagalmā. Lieliski kaimiņi. Ideāla vieta tiem, kuri ciena pilsētas komfortu. Apsaimnieko biedrība. 

Lieliska infrastruktūra (pie pašas mājas ir Rigas pirmsskolas izglitibas iestade , Laismiņa"", Rīgas 96. vidusskola, sabiedriskā transporta pieturas, Anniņmuižas parks, Pump track Imanta, veikali un kafejnīcas. Dzīvoklis gatavs apskatei Jums ērtā laikā, zvaniet. Nepieciešamības gadījumā, palīdzam ar kredīta noformēšanu. 

3-комнатная квартира в отличном месте Иманты с балконом. 

Квартира состоит из просторной гостиной, 2 отдельных спален, ванной комнаты, туалета, прихожей и отдельной кухни. Есть балкон. Заменены стеклопакеты, стояки и радиаторы. Окна выходят на обе стороны дома, поэтому в квартире всегда светит солнце. Чистый и аккуратный подъезд. Входная дверь оборудована кодом. Парковка во дворе дома. Отличные соседи. Идеальное место для тех, кто ценит городской комфорт. Управляется ассоциацией жильцов. 

Отличная инфраструктура (рядом с домом Рижское дошкольное образовательное учреждение Лайсминя, Рижская 96-я средняя школа, остановки общественного транспорта, парк Анниньмуйжас, вело парк , магазины и кафе. Квартира готова к осмотру в удобное для Звоните. При необходимости поможем с оформлением кредита."
104,agenskalns/gmmbh,Āgenskalns,Sabiles 13,2,66.0,3,3,Jaun.,Koka,Balkons,197030.0,2985.3,https://www.ss.com/msg/lv/real-estate/flats/riga/agenskalns/gmmbh.html,"Vieta, kur vēsture un mūsdienas satiekas vienuviet

Tiek pārdots divistabu dzīvoklis ar balkonu un augstvērtīgu pilno gala apdari. 

Projektā “Kļavu rezidences” paredzēti 24 moderni dzīvokļi ar pārdomātiem plānojumiem, kuru platības būs no 44 līdz 81 m2. Dzīvokļu griestu augstums variēs no 2, 8 līdz pat 4m. Dzīvokļiem Iespējams izvēlēties sev atbilstošāko interjera apdares veidu. Lielākajai daļai dzīvokļu būs pieejami plaši balkoni vai terases. 

Projekta attīstība ir sadalīta divās kārtās, no kurām pirmā jau atrodas būvniecības stadijā. Pirmās kārtas nodošana ekspluatācijā plānota 2025. gada vasarā, savukārt otrās kārtas pabeigšana plānota 2025. gada beigās. 
Ēkas tiek būvētas pēc jaunākajiem energoefektivitātes standartiem un saņems A klases energoefektivitātes sertifikātu, kas nozīmē, ka komunālie maksājumi būs zemi, atvēlot vairāk līdzekļus, pilnvērtīgai dzīves baudīšanai Āgenskalnā. Ēkās siltums tiks nodrošināts ar lokālu gāzes katlu māju. Pirmā stāva dzīvokļi tiks apsildīti ar silto grīdu risinājumu, savukārt otrā un trešā – ar radiatoriem. Katrā dzīvoklī uzstādīta individuāli regulējama ventilācijas iekārta ar siltuma atgūšanu. 

Rezidences ieskauj plašs un zaļš dārzs, kurā aug 3 dižas kļavas, no kurām arī radies projekta nosaukums. Zaļais pagalms lieliski kalpos kā vieta, kur atpūsties pēc darba dienas steigas vai baudīt brīvdienu nesteidzīgo ritējumu. Pašus jaunākos priecēs pagalmā esošais bērnu laukumiņš. Teritorija ir labiekārtota, slēdzama, aprīkota ar videonovērošanu. Piekļuve teritorijai tiek nodrošināta ar elektronisko atslēgu un domofoniem katrā dzīvoklī. Katram dzīvoklim iespējams iegādāties autostāvvietu, kuru nepieciešamības gadījumā iespējams aprīkot ar elektriskās uzlādes iekārtu. 

“Kļavu rezidences” atrodas Sabiles un Kapseļu ielu krustojumā, kas izceļas ar grezno koka arhitektūru, kur vēsturiski dzīvoja Rīgas elite, baudot vasaras Āgenskalna koka villās. 
Dzīvokļu īpašniekiem būs ērta piekļuve Kalnciema kvartālam, parkiem, Āgenskalna tirgum, kā arī citām ikdienā svarīgām vietām un infrastruktūrai, nodrošinot patīkamu dzīvi un iespēju gan ērti izmantot sabiedrisko transportu, gan blakus esošās iepirkšanās iespējas. 

Blakus atrodas vairāki parki, viens no tiem ir Jaunatnes dārzs ar tikko izbūvētu bērnu spēļlaukumu. Minūtes gājiena attālumā atrodas Melnsila iela ar ērtu sabiedriskā transporta kustību, nodrošinot savienojumus ar visiem Rīgas rajoniem. 

Šis projekts ir ideāli piemērots tiem, kuri nevēlas lielpilsētas kņadu, bet vēlas saglabāt visas Rīgas sniegtās izklaides iespējas. Dažu minūšu pastaigas attālumā atrodas Kalnciema kvartāls, kas piedāvā gan gardi paēst, gan vasaras laikā paklausīties mūziku un uzdejot. 

Projekta priekšrocības:

 Kvalitatīva pilnā apdare
 Ideāla atrašanās vieta - Rīgas zaļākais rajons, Āgenskalns
 Neliels dzīvokļu skaits – tikai 24 dzīvokļi
 Mūsdienīgā apvienojums ar vēsturisko
 A klases energoefektivitāte
 Gandrīz visiem dzīvokļiem pieejami balkoni vai terases
 2-3 istabu dzīvokļi ar kvalitatīvu pilnu iekšējo apdari
 Augsti griesti – 2.8 – 4.00 m
 Individuālas ventilācijas iekārtas ar siltuma atgūšanas funkciju
 Noliktavas telpas
 Plašs, labiekārtos un slēdzams pagalms
 Bērnu laukums
 Autostāvvietas ar iespēju aprīkot ar elektroauto uzlādi
 Velosipēdu novietnes"
105,centre/copml,centrs,Rūpniecības 34a,3,96.0,2,6,Jaun.,Mūra,,195000.0,2031.25,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/copml.html,"Pārdod plašu 3-istabu dzīvokli pašā Rīgas centrā prestīžā projektā Park Side, blakus Viesturdārzam un Rimi hipermarketam. Dzīvoklis sastāv no virtuves ar ēdamistabu, viesistabas, divām atsevišķām guļamistabām, sanmezgla, garderobes un koridora un tiek pārdots ar iebūvētām mēbelēm un sadzīves tehniku. Dzīvoklis ir atbrīvots un pieejams, bez apgrūtinājumiem. Zeme īpašumā. 

Продается просторная 3-комнатная квартира в самом центре Риги, в престижном проекте Park Side, рядом с городским парком Виестурдарзс и гипермаркетом Рими. Квартира состоит из кухни со столовой, гостиной, двух отдельных спален, санузла, гардеробной и коридора, и продается вместе со встроенной мебелью и бытовой техникой. Квартира освобождена и доступна, без отягощений. Земля в собственности. 

Spacious 3-room (2-bedroom) apartment for sale in the very center of Riga, in the prestigious Park Side project, next to the Viesturdarzs city park and the Rimi hypermarket. The apartment consists of a kitchen with a dining room, a living room, two separate bedrooms, a bathroom, a dressing room and a corridor, and is sold with built-in furniture and household appliances. The apartment is free and accessible, without encumbrances. Owned land."
106,ziepniekkalns/bxxfmh,Ziepniekkalns,Ozolciema 18,2,43.0,3,9,119.,Paneļu,"Balkons, Parkošanas vieta",52000.0,1209.3,https://www.ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/bxxfmh.html,"Labiekārtots un mājīgs dzīvoklis, kurš neprasa papildījumus ieguldījumus un var ievākties uzreiz. 
Tā logi ir vērsti uz dienvidu pusi, kā rezultātā dzīvoklis ir gaišs un silts. Pagalmā ir autostāvvieta, kura paredzēta tikai mājas iedzīvotājiem ar atļaujām. Dzīvoklis tiek pārdots ar visām mēbelēm un sadzīves tehniku, kā rezultātā Jūs varat ievākties uzreiz pēc darījuma noslēgšanas. 
Māju apsaimnieko Rīgas namu apsaimniekotājs. Zeme zem mājas ir nomā. Komunālie maksājumi ziemas mēnešos ir līdz 130, 00 euro un vasarā līdz 60, 00 euro. Māja atrodas izcilā vietā ar attīstītu infrastruktūru. Tuvumā atrodas skolas, bērnudārzi, lielveikali (Rimi, T/C Aleja). Pāris minūšu attālumā atrodas sabiedriskā transporta pietura, kas nodrošina ātru un ērtu nokļūšanu uz Rīgas centru. 

Уютная и благоустроенная квартира, не требующая дополнительных вложений, с возможностью заселения сразу. Ее окна выходят на южную сторону, благодаря чему в квартире светло и тепло. Во дворе есть парковка, предназначенная только для жильцов дома по разрешениям. Квартира продается со всей мебелью и бытовой техникой, поэтому вы можете въехать сразу после оформления сделки. 
Дом обслуживает Rīgas namu apsaimniekotājs. Земля под домом арендуется. Коммунальные платежи зимой составляют до 130, 00 евро, а летом – до 60, 00 евро. Дом расположен в отличном месте с развитой инфраструктурой. Рядом находятся школы, детские сады, крупные магазины (Rimi, ТЦ Aleja). В нескольких минутах ходьбы расположена остановка общественного транспорта, что обеспечивает быстрый и удобный доступ к центру Риги."
107,imanta/ejbbf,Imanta,Jūrmalas g. 108,3,80.0,1,2,Priv. m.,Mūra,"Terase, Pirts, Parkošanas vieta",90000.0,1125.0,https://www.ss.com/msg/lv/real-estate/flats/riga/imanta/ejbbf.html,"Продаётся 3-х комнатная квартира на первом этаже в 2-х этажном доме со всеми удбствами и с землёй 500m2. Отремонтированная. Комнаты большие, изолированные. Каминный зал, спальная комната, кабинет или детская и веранда. Кухня встроенная с современной бытовой техникой. Вода городская. Бойлер. Канализация местная. Отопление печное-современная печь. На территории в 500 кв. м: беседка, баня, место для мангала, теплица, сарай, гараж . Без долгов и отягощений. Идеальное место и недвижимость в Риге. 

Tiek pārdots 3 istabu dzīvoklis 2 stāvu ēkas pirmajā stāvā ar visam ērtibam un zeme 500m2 . Renovēts. Istabas ir lielas un izolētas. Kamīnistaba, guļamistaba, biroja vai bērnu istaba un veranda. Iebūvēta virtuve ar modernu tehniku. Pilsētas ūdens, bojlers. Vietējā kanalizācija, moderna apkure krāsns. Teritorijā 500 kv. m: lapene, pirts, grila zona, siltumnīca, šķūnis, garāža, papildus biotualete. Bez parādiem un apgrūtinājumiem. Ideāla atrašanās vieta un īpašums Rīgā"
108,centre/fdefn,centrs,Lienes 9,2,53.0,3,6,P. kara,Ķieģeļu-paneļu,,77500.0,1462.26,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/fdefn.html,"Ērts 52, 60 m² dzīvoklis ar divām izolētām istabām, atsevišķu virtuvi un vannasistabu. 3. stāvs, augstie griesti (3 m), logi uz mājas fasādi – daudz gaismas. 

Dzīvoklis ar saskaņotu pārplānojumu, pārdodas ar mēbelēm un tehniku – var uzreiz ievākties. 

Ekonomiska apkure (siltumsūknis). 
Ziemā izmaksas ap 215 EUR/mēn. , vasarā ap 130 EUR. 
NĪN – 48 EUR gadā. 

Kāpņu telpa slēdzama, pagalmā auto novietošana. 
Tuvu veikaliem, parkiem un sabiedriskajam transportam. 
Apsaimnieko ""Berga Nami"". Novērtējums – 80 000 EUR (2025. gada februāris). 

Labs variants dzīvošanai Grīziņkalnā vai izīrēšanai. 
Aģentus lūgums netraucēt."
109,centre/eidlm,centrs,Tomsona 39/1,3,112.0,5,7,Jaun.,Paneļu - ķieģeļu,"Balkons, Lodžija, Terase",208400.0,1860.71,https://www.ss.com/msg/lv/real-estate/flats/riga/centre/eidlm.html,"2 terases uz abām dzīvokļa pusēm. Tiek pārdots gaišs un saulains 3-istabu dzīvoklis Rīgas centrā, jaunajā projektā- Tomsona terases, blakus Arēna Rīga un Olimpiskais sporta centrs, izcila infrastruktūra (blakus veikali, sabiedriskais transports, pasta nodaļa, bankas, skolas, bērnudārzi). 

Tīra, kopta kāpņu telpa, trenažieru zāle, videonovērošana, kodu atslēga, lifts, labiekārtota apzaļumota teritorija. 

+ 2 guļamistabas
+ Plaša virtuves zona ar viesistabu
+ 2 sanitārie mezgli ar siltajām grīdām (vienā vanna, otrā duša)

+ 2 terases (abās dzīvokļa pusēs)
+ Situēti, zolīdi kaimiņi

Dzīvoklis ir pilnībā labiekārtots ar mēbelēm, iebūvētiem skapjiem, virtuve ar iebūvētu sadzīves tehniku, kondicionieris, veļas mašīna, trauku mazgājamā mašīna. 

Mēs atbildēsim uz visiem Jūsu jautājumiem pa tālruni, kas ir norādīts zemāk. Zvaniet. 

Продается светлая 3-х комнатная квартира в центре Риги, в одном из лучших новых проектов – Томсона терасес, рядом находятся Арена Рига и Олимпийский спортивный центр, прекрасная инфраструктура (рядом магазины, общественный транспорт, почтовое отделение, банки, школы, детские сады). 

Чистая, ухоженная лестничная клетка, тренажерный зал, видеонаблюдение, кодовый замок, лифт, благоустроенная, озелененная территория. 

+ Две спальные комнаты
+ Кухонная зона с гостиной
+ Два санитарных узла (в одном – ванна, во втором – душ) с теплыми полами

+ Две террасы
+ Состоятельные, солидные соседи

Квартира полностью благоустроена - мебель, встроенные шкафы, кухня с встроенной бытовой техникой, кондиционер, стиральная машина, посудомоечная машина. 

Мы ответим на все интересующие Вас вопросы по телефону, который указан ниже. Звоните."
110,ziepniekkalns/fooke,Ziepniekkalns,Vienības g. 186,2,65.0,4,5,Jaun.,Paneļu,"Lodžija, Parkošanas vieta",125000.0,1923.08,https://www.ss.com/msg/lv/real-estate/flats/riga/ziepniekkalns/fooke.html,"Pārdod mājīgu 2-istabu dzīvokli modernā dzīvojamajā kompleksā ""Dienvidu pakavs 1"", 

Par īpašumu
Ēka uzbūvēta un nodota ekspluatācijā 2006. gadā. Lieliska atrašanās vieta: tuvumā skolas, bērnudārzi, ērtas transporta satiksmes shēmas un sabiedriskā transporta pieturas. Pastaigas attālumā atrodas bērnudārzi, skolas, iecienīti tirdzniecības centri Maxima, TC Aleja, kā arī sporta klubs MyFitness. Netālu ir daudz kafejnīcu un restorānu. Kompleksa teritorijā ierīkots moderns bērnu rotaļu laukums. 
Plānojums
 Plaša guļamistaba ar lielu iebūvēto skapi
 Viesistaba, apvienota ar virtuvi
 Vannas istaba
 Priekštelpa ar ietilpīgu iebūvēto skapi
 Lodžija ar skatu uz iekšpagalmu
 Logi vērsti uz pagalmu, mājas kluso pusi un saulaino pusi
Īpašības un ērtības
 Visa iebūvētā mēbeles paliek dzīvoklī
 Funkcionāla virtuve ar kvalitatīvu furnitūru
 Augsti griesti (2, 90 m) rada plašuma sajūtu
 Ietilpīgi iebūvētie skapji priekštelpā un guļamistabā
 Lodžija ar skaistu skatu uz labiekārtotu pagalmu
 Individuālie skaitītāji elektrībai, ūdenim un apkurei ar attālināto nolasīšanas sistēmu
Dzīvojamā kompleksa teritorijā katram dzīvoklim ir pieejamas divas bezmaksas autostāvvietas. 
Dzīvoklis ir gaišs, saulains un lieliski piemērots ērtai dzīvošanai. 
Продается уютная 2-комнатная квартира в современном жилом комплексе ""Dienvidu pakavs 1"". 
Об доме
Дом построен и введен в эксплуатацию в 2006 году. Отличное расположение: рядом школы, детские сады, удобные транспортные развязки и остановки общественного транспорта. В пешей доступности находятся детские садики, школы, популярные торговые центры Maxima, TC Aleja, а также спортивный клуб MyFitness. В шаговой доступности множество кафе и ресторанов. На территории комплекса оборудована современная детская площадка. 
Планировка
 Просторная спальня с большим встроенным шкафом, 
 Гостиная, совмещенная с кухней, 
 Ванная комната, 
 Прихожая с вольсним встроенным шкафом, 
 Лоджия с видом на внутренний двор. 
 Окна выходят во двор, на тихую часть дома и на солнечную сторону. 
Особенности и удобства
 Вся встреонная мебель остается, 
 Функциональная кухня с качественной фурнитурой, 
 Высокие потолки (2, 90 м) создают ощущение простора, 
 Вместительные встроенные шкафы в прихожей и спальне, 
 Лоджия с прекрасным видом на благоустроенный двор, 
 Индивидуальные счетчики на электричество, воду и отопление с системой удаленного считывания. 
На территории жилого комплекса предусмотрены две бесплатные парковки для каждой квартиры. 
Квартира светлая, солнечная и идеально подойдет для комфортного проживания."
111,teika/bfjod,Teika,Brīvības gatve 237,2,52.0,1,5,Specpr.,Paneļu,,63600.0,1223.08,https://www.ss.com/msg/lv/real-estate/flats/riga/teika/bfjod.html,"Продаём квартиру на Brīvības gatve 237, 1-ый этаж 5-ти этажного дома. 
Удачное расположение дома. 
Спецпроект, площадь квартиры 52, 23 кв. м. 
Земля в собственности жильцов дома, стоянка во дворе по пропускам. 
Две изолированные комнаты, лоджия, санузел изолированный. 
Квартира в жилом состояние. 
Чистый подъезд, кодовый замок. 
Хорошая инфраструктура, в пешей доступности остановка общественного транспорта, торговые центры, детские садики. 
Квартира без долгов и обременений. 
Квартира именно для вас: доступность транспорта, живописный, современный район. Купите и наслаждайтесь размеренной столичной жизнью. Все, чтобы жить с комфортом в самом уютном районе Риги. 

Pārdodam dzīvokli Brīvības gatve 237, 5 stāvu mājas 1.stāvā. 
Laba mājas atrašanās vieta. 
Specproekts, dzīvokļa platība 52.23 kv. m. 
Zeme mājas iedzīvotāju īpašumā, stāvvieta pagalmā pa caurlaidēm. 
Divas izolētas istabas, lodžija, izolēts sanitārais mezgls. 
Dzīvoklis ir dzīvojamā stāvoklī. 
Tīra ieeja, koda atslēga. 
Laba infrastruktūra, pastaigas attālumā sabiedriskais transports, tirdzniecības centri. 
Dzīvoklis bez parādiem un apgrūtinājumiem. 
Dzīvoklis ir tieši jums: transporta pieejamība, gleznaina, klusa apkārtne. Pērciet un izbaudiet izmērītu lielpilsētas dzīvi. Viss, lai ērti dzīvotu Rīgas ērtākajā rajonā."
112,ilguciems/gfeip,Iļģuciems,Spilves 17,3,67.0,5,5,LT proj.,Paneļu,,48000.0,716.42,https://www.ss.com/msg/lv/real-estate/flats/riga/ilguciems/gfeip.html,"Pārdodam dzīvokli Spilves ielā 17, 5 stāvu mājas 5. stāvā. 
Veiksmīga mājas atrašanās vieta. Dzīvojamā kompleksā. 
Lietuviešu projekts, dzīvokļa platība 66, 7 kv. m. 
Zeme mājas iedzīvotāju īpašumā. 
Trīs izolētas istabas, lodžija, izolēts sanitārais mezgls, starp istabām pieliekamais. 
Dzīvoklis ir dzīvojamā stāvoklī. 
Tīra kapņu telpa, koda atslēga. 
Laba infrastruktūra, pastaigas attālumā sabiedriskais transports, tirdzniecības centri. 
Dzīvoklis bez parādiem un apgrūtinājumiem. 
Dzīvoklis ir tieši jums: transporta pieejamība, gleznaina, klusa apkārtne. Pērciet un izbaudiet izmērītu lielpilsētas dzīvi. Viss, lai ērti dzīvotu Rīgas ērtākajā rajonā. 

Продаём квартиру на улице Spilves 17, 5-ый этаж 5-ти этажного дома. 
Удачное расположение дома. Внутри жилого комплекса. 
Литовский проект, площадь квартиры 66, 7 кв. м. 
Земля в собственности жильцов дома. 
Три изолированные комнаты, лоджия, санузел изолированный, между комнатами кладовка. 
Квартира в жилом состояние. 
Чистый подъезд, кодовый замок. 
Хорошая инфраструктура, в пешей доступности остановка общественного транспорта, торговые центры, школа, детские садики. 
Квартира без долгов и обременений. 
Квартира именно для вас: доступность транспорта, живописный, спокойный район. Купите и наслаждайтесь размеренной столичной жизнью. Все, чтобы жить с комфортом в самом уютном районе Риги."
